id,title,release,budget,revenue,numCrew,numCast,male,female,unknown,Editing,Art,Sound,Production,Directing,Writing,Visual Effects,Costume & Make-Up,Crew,Lighting,Camera,Actors
15919,Marty,1955-04-11,343000,3000000,23,28,32,7,12,1,3,4,4,2,1,0,4,3,0,1,0
1679,ゴジラの逆襲,1955-04-24,800000,1952653,9,28,17,3,17,1,0,1,1,1,2,1,0,1,0,1,0
18030,Kiss Me Deadly,1955-04-28,410000,726000,13,18,23,7,1,1,2,2,2,2,2,0,1,0,0,1,0
10340,Lady and the Tramp,1955-06-22,4000000,93933394,19,11,26,3,1,1,0,1,2,3,5,7,0,0,0,0,0
381,To Catch a Thief,1955-08-03,2500000,8750000,15,13,19,6,3,1,3,1,1,2,2,0,3,0,0,2,0
11219,The Trouble with Harry,1955-10-03,1200000,7000000,60,14,44,6,24,1,10,5,7,7,2,0,5,2,5,16,0
221,Rebel Without a Cause,1955-10-29,1500000,4500000,13,41,38,8,8,1,3,2,1,1,3,0,1,0,0,1,0
830,Forbidden Planet,1956-03-23,1900000,3250000,15,21,31,3,2,1,4,4,1,1,1,0,2,0,0,1,0
18983,Godzilla± King of the Monsters!,1956-04-27,25000,2000000,17,27,28,3,13,1,1,3,0,2,4,0,0,4,0,2,0
574,The Man Who Knew Too Much,1956-05-16,2500000,10250000,40,64,68,11,25,2,5,3,7,4,3,2,5,4,1,4,0
40494,Trapeze,1956-05-30,4000000,14400000,10,15,17,2,6,0,0,1,1,1,5,0,1,0,0,1,0
10339,Moby Dick,1956-06-27,4500000,10400000,11,17,24,0,4,1,0,1,2,2,3,0,0,0,0,2,0
16520,The King and I,1956-06-29,4550000,21300000,17,12,19,4,6,1,4,1,2,2,3,0,3,0,0,1,0
28000,Somebody Up There Likes Me,1956-07-03,1920000,3360000,24,98,85,7,30,1,4,6,2,2,3,0,1,4,0,1,0
11706,War and Peace,1956-08-21,6000000,12500000,17,20,24,8,5,1,0,1,2,1,9,0,1,0,1,1,0
24010,Bus Stop,1956-08-31,220000,7270000,25,38,33,7,23,1,4,8,1,2,2,0,4,1,0,2,0
6844,The Ten Commandments,1956-10-05,13000000,122700000,72,84,69,25,62,1,8,6,8,7,7,1,12,13,0,9,0
1712,Giant,1956-10-10,5400000,35000000,15,34,25,14,10,1,2,2,2,1,3,0,2,0,1,1,0
2897,Around the World in Eighty Days,1956-10-17,6000000,42000000,53,312,185,29,151,5,3,5,5,5,5,2,9,5,0,9,0
39833,Love Me Tender,1956-11-15,1000000,9000000,17,14,23,2,6,1,4,3,1,2,2,0,3,0,0,1,0
43258,Friendly Persuasion,1956-11-25,3,8,14,26,27,5,8,3,2,1,2,1,2,0,2,0,0,1,0
22527,The Wrong Man,1956-12-22,1200000,2000000,20,23,23,9,11,1,2,5,4,2,3,0,2,0,0,1,0
389,12 Angry Men,1957-04-10,350000,1000000,16,18,26,1,7,1,1,3,3,3,2,0,1,0,0,2,0
37373,Island in the Sun,1957-06-12,3000000,5000000,26,15,24,7,10,2,3,5,3,5,2,0,4,0,0,2,0
43228,I Was a Teenage Werewolf,1957-06-19,82000,2000000,15,16,19,3,9,0,2,2,2,2,4,0,2,0,0,1,0
